strain	replicate	temp	mumax/day	r2
BRX10.2	1	4	2.33269749747005	0.980625780154391
BRX10.2	2	4	2.19775711687644	0.981000999632098
BRX10.2	3	4	1.8789688285416	0.990891739139001
BRX10.2	4	4	1.85657180839651	0.973557146455508
BRX10.2	5	4	1.83100496708421	0.984947502256055
BRX10.2	6	4	1.68877347567868	0.984798103779942
BRX10.2	7	4	1.94449958337902	0.975768810006734
BRX10.2	8	4	2.20039315293745	0.986413214625478
BRX10.2	1	11	2.23293741059811	0.988450033104194
BRX10.2	2	11	2.09378044136645	0.987209634617893
BRX10.2	3	11	2.10964063930664	0.992450463035352
BRX10.2	4	11	2.14634564998366	0.992822560039065
BRX10.2	5	11	2.20543120966129	0.991058192678991
BRX10.2	6	11	2.21785336113428	0.988426324213813
BRX10.2	7	11	2.30437288073795	0.984826428766663
BRX10.2	8	11	2.1140221400836	0.990764470677935
BRX10.2	1	17	1.33285726816464	0.995508941416038
BRX10.2	2	17	1.24535729851251	0.995085564271557
BRX10.2	3	17	1.27253187330615	0.99608221455832
BRX10.2	4	17	1.72471710203518	0.99337899986109
BRX10.2	5	17	1.304555829779	0.994380557534948
BRX10.2	6	17	1.27624317245146	0.995093369257034
BRX10.2	7	17	1.26093801068409	0.995934051736938
BRX10.2	8	17	1.35384525672882	0.996042804060878
BRX10.3	1	-1	1.1343569404932	0.995264563993452
BRX10.3	2	-1	0.932132350530279	0.991650193846058
BRX10.3	3	-1	0.95089520483121	0.995151666239906
BRX10.3	4	-1	0.984986952702017	0.994572668460883
BRX10.3	5	-1	0.890435919492025	0.994520592735711
BRX10.3	6	-1	0.8361021275925	0.997342603751737
BRX10.3	7	-1	0.96073144823957	0.994256487530005
BRX10.3	8	-1	0.981400866536732	0.993683372753031
BRX10.3	1	4	1.47682713905759	0.99262447040625
BRX10.3	2	4	0.804159229242517	0.804125198164155
BRX10.3	3	4	1.25637409247811	0.994966966499618
BRX10.3	4	4	0.922381258735769	0.966098730508853
BRX10.3	5	4	0.93683521707275	0.9851069707249
BRX10.3	6	4	0.801258605450692	0.737128237087171
BRX10.3	7	4	0.941949004285128	0.881396096785714
BRX10.3	8	4	0.579202894459326	0.749383567807045
BRX10.3	1	11	1.11160514328316	0.993737018450553
BRX10.3	2	11	1.2105784498076	0.993530016637684
BRX10.3	3	11	1.21762916431323	0.996062649691864
BRX10.3	4	11	1.26334242146056	0.996236250700214
BRX10.3	5	11	1.40385442717174	0.997715023461933
BRX10.3	6	11	1.18705361858617	0.995248352215727
BRX10.3	7	11	1.21715085101186	0.995035346266262
BRX10.3	8	11	1.18372761189795	0.995485614474347
BRX10.3	1	17	1.06114665439645	0.911207208457588
BRX10.3	2	17	1.34659182861385	0.996354006736926
BRX10.3	3	17	1.23553622352858	0.997737698223223
BRX10.3	4	17	1.23238539774412	0.997533459552557
BRX10.3	5	17	1.7143021702235	0.996495616114809
BRX10.3	6	17	1.2714145080971	0.994863644672015
BRX10.3	7	17	1.278292722171	0.99520959810479
BRX10.3	8	17	1.21346699059054	0.994023933474028
BRX10.4	1	-1	1.42282504030015	0.983738611110583
BRX10.4	2	-1	1.7889615479329	0.980881230693624
BRX10.4	3	-1	1.40731411870391	0.984052526862313
BRX10.4	4	-1	1.02730624680476	0.982468674561551
BRX10.4	5	-1	0.96132915714563	0.957371185244046
BRX10.4	6	-1	1.08124715899143	0.963766449672113
BRX10.4	7	-1	1.03569043362263	0.975184349177521
BRX10.4	8	-1	1.15828732627682	0.98796048818981
BRX10.4	1	4	2.0961699660854	0.984225601814697
BRX10.4	2	4	1.56706883307611	0.979692432095093
BRX10.4	3	4	1.35407864834653	0.972221023246197
BRX10.4	4	4	1.34327076990424	0.986718011777441
BRX10.4	5	4	1.34217820089466	0.971639572385432
BRX10.4	6	4	1.27202932059997	0.933943165951424
BRX10.4	7	4	1.51117089225387	0.963809677606662
BRX10.4	8	4	1.85827145301431	0.987864510372183
BRX10.4	1	11	1.809291443617	0.928391831786484
BRX10.4	2	11	1.80757141585457	0.934919446083758
BRX10.4	3	11	1.44755363212978	0.706367113297622
BRX10.4	4	11	1.27517884520489	0.764977228503105
BRX10.4	5	11	1.18603360883897	0.793814430213968
BRX10.4	6	11	1.49190904230937	0.817203460693597
BRX10.4	7	11	1.6988118207136	0.912925111927198
BRX10.4	8	11	2.34756334233444	0.995042406299558
BRX10.4	1	17	0.183701103271097	0.633167482357285
BRX10.4	2	17	0.296689188887846	0.894546963172681
