strain	clade	mlm_all	mlm_Pro	mlm_Arg	mlm_Ali	mlm_Aro	mlm_Aci	mlm_Gra	mlm_best
44	Colwellia BRX8.2	Clade A1	1.9333009474671	2.02323094245901	2.41923772917767	1.95144314352865	5.37446909147218	5.26437810390076	3.43176449485642	1.20940520805009
45	Colwellia BRX8.3	Clade A1	1.12160733327197	1.77744555383782	2.16898464540342	1.15365745824294	4.83293382831812	4.9412023871626	2.79542899741831	0.382844563204515
46	Colwellia BRX8.5	Clade A1	0.51034527354116	0.921337317928471	1.34997117816861	0.574533094930752	3.99330931741616	4.23113194348576	2.16221797233184	0.198264019903435
47	Colwellia BRX8.6	Clade A1	0.0372283261856676	0.489868743211867	0.946534474663759	0.0551513341403282	3.71490588606982	3.6854265416812	1.66075848476985	0.707066155642257
48	Colwellia BRX8.7	Clade A1	0.249630733597495	0.835549223208137	1.29369033971264	0.409865818923276	3.48067839789336	3.43553760388373	1.20590571268508	1.10222007255976
49	Colwellia BRX8.8	Clade A1	1.60068609107243	1.02079160218929	1.46804096224968	1.14547994631763	2.09812297383095	3.46161140569088	1.49025519663399	1.05843719503152
50	Colwellia BRX8.9	Clade A1	1.43925868996191	1.21492857765381	2.42451742522718	2.36565657066364	3.94348639741298	6.58426456954638	4.54760200895575	1.00936356330349
51	Colwellia BRX10.4	Clade A1	1.2993394033347	2.2646560513563	2.56522053907125	2.19550137946345	6.08321491294487	4.55886041680693	4.53491978608862	0.711180211881524
52	Colwellia psychrerythraea GAB14E	Clade C	8.12769646501294	1.38373146336454	3.06821266484866	11.3592143364108	3.34546875730712	5.11120094027547	11.1655540528869	10.1322451888223
53	Colwellia psychrerythraea ND2E	Clade C	8.77488498248297	2.85763198362042	4.28221834216804	9.6529492114995	4.0034679920866	8.60972153010496	9.38021003475615	8.85895617356648
54	Colwellia polaris strain MCCC1C00015	Clade B	5.99061607213584	6.74639337524448	8.13286411949632	5.10217367209555	7.39291755097111	7.03679818181644	5.62086203595985	5.20503865145118
55	Cognaticolwellia aestuarii strain KCTC 12480	Clade B	13.6359550059767	15.8701571947097	12.8557845995141	16.0580496905386	14.3933457118839	16.9270105329487	17.2889335370175	14.7125765747266
56	Cognaticolwellia aestuarii strain CGMCC1.6965	Clade B	13.4729367876204	15.7790835122338	12.8397546189369	15.8679180363399	14.4787463621306	16.7820082123069	17.1672646038555	14.5057420488669
57	Thalassomonas actiniarum strain A5K-106	Other Colwelliaceae	3.76441995138525	2.10451085660065	3.92176740368316	2.82007181475592	11.9228726711936	11.9989445240433	3.23801354594922	4.16779163583096
58	Colwellia chukchiensis strain CGMCC1.9127	Clade B	6.97433117961376	3.77061673522047	3.24278019589481	9.39980020975281	11.4632069949521	21.0750536781364	13.7670510663228	6.09657955197524
59	Litorilituus sediminis strain JCM 17549	Other Colwelliaceae	12.4670633305189	26.3052929352404	24.0005045841043	11.7960305692818	20.6523743929637	19.5640373643698	13.3866608074959	13.1042994586085
60	Colwellia demingiae strain ACAM 459	Clade C	2.4016315905741	2.31259200495637	0.500543639449887	3.56239389523898	0.756982317076847	4.41715181139935	2.78733426525601	3.85446416726177
61	Colwellia hornerae strain ACAM 607	Clade A1	1.28084458630338	0.0912852417733347	0.976438700462083	1.00498620406245	2.36216525682863	2.43038345835566	0.837082516078295	1.82415290019052
