strain	clade	Meas_OGT	mlm_all	mlm_Pro	mlm_Arg	mlm_Ali	mlm_Aro	mlm_Aci	mlm_Gra	mlm_best
18	Colwellia MB02u-9	Clade B	8.94999999999999	10.1538680177621	14.7397291526262	15.1806804344147	8.8962274324399	10.0641007453268	8.70730667671768	7.71158526846123	10.7496609032563
19	Colwellia MB02u-10	Clade B	7.60000000000002	10.8917337365252	13.0569065774538	14.7898320719848	10.139663838456	8.04683434980564	9.8332388756952	8.68501390094784	11.9529485284496
20	Colwellia MB02u-11	Clade A2	6.60000000000002	9.74937527488843	9.14995646216229	10.5937467960791	10.3768030237891	16.2926951123732	11.4537189656423	12.9949391895526	8.7159339107338
21	Colwellia MB02u-12	Clade B	7.80000000000007	9.05007636399058	14.4804878446446	15.1575744364199	7.67706325846405	9.38180385475818	8.71520327332843	6.7329120889216	9.59024091661061
22	Colwellia MB02u-14	Clade A2	7.20000000000005	8.63926650362066	10.0058487521247	10.9627933088273	10.394604650409	13.7944236349419	12.2265109667305	13.4205546848159	8.38714024074554
23	Colwellia MB02u-18	Clade B	9.20000000000005	9.08301678617495	14.4108056853497	15.1690468941406	7.69255393650997	9.44393711405695	8.64024664588041	6.75071783844611	9.6004583227996
24	Colwellia MB02u-19	Clade B	7.80000000000007	9.1365567102874	14.413605343795	15.1571959864456	7.78162729123426	9.35908890656003	8.6850736441381	6.80675362380669	9.69816691682649
25	Colwellia MB3u-4	Clade B	7.89999999999998	8.5964842489479	15.0506983870686	15.1009138610313	7.69967982427329	8.90112122257312	8.31235340460142	6.73844096555019	9.62236176044378
26	Colwellia MB3u-8	Clade B	10.7	11.1718620522154	14.5801089059801	14.4629787654662	9.81739703460278	12.0937164640843	8.3370122360958	8.43430282608604	11.6397620739424
27	Colwellia MB3u-22	Clade A2	6.39999999999998	9.73279513222427	9.1601904246323	10.6877636483361	10.3836983185585	16.3154757332035	11.3361942722511	13.0491500893842	8.68157886103548
28	Colwellia MB3u-28	Clade A2	6.70000000000005	8.45928933694049	10.3837826081336	10.8756599178731	10.6732381107812	14.6316127922153	12.5740149775123	14.3773535906377	8.03591805379189
29	Colwellia MB3u-41	Clade A2	7.39999999999998	8.48631758150218	10.3799682068576	10.8750626137399	10.7322937571981	14.5704054985222	12.6384440365787	14.4390820676428	8.08004187634704
30	Colwellia MB3u-43	Clade B	7.70000000000005	9.10571905304452	14.3814530680504	15.1474968909751	7.72053399232971	9.39765354142372	8.63782541041448	6.74635010515488	9.64961682740702
31	Colwellia MB3u-45	Clade B	8.80000000000007	9.10540163373371	14.4367499228539	15.1719757874459	7.81306672329015	9.27822703639521	8.77506107317592	6.88949831093012	9.67973053007744
32	Colwellia MB3u-55	Clade A1	9.5	10.1394580324857	10.7541682174722	10.8767788483391	10.5994784133472	14.5357968620229	13.6360961034828	12.5872509816229	9.42060478069899
33	Colwellia MB3u-64	Clade A2	5.80000000000007	9.71493990352055	9.11250325910342	10.5611177988124	10.3402142035236	16.3273079525266	11.3549914798254	12.9478389791725	8.69603937458936
34	Colwellia BRX10.1	Clade A1	10.5	10.6648731357445	10.5367098850106	11.3793660929331	10.5870712687121	12.8724353326546	13.7337306849226	11.6752451334256	10.1669840560502
35	Colwellia MB3u-70	Clade B	7.70000000000005	11.1147339645918	14.6073047017301	14.4013119869082	9.76104896649474	12.1455669872639	8.2872936694815	8.36721687381821	11.6045429907301
36	Colwellia Bg11-12	Clade A2	12	8.07250742402035	11.8998543338308	10.898740635911	8.87520587391202	15.0551980973077	13.0284158056	11.7810878314964	7.29503006881412
37	Colwellia BRX10.2	Clade A1	9.20000000000005	10.8274375836028	10.5858342581787	11.4046458077123	10.6805257746989	12.9349780121187	13.7022763013867	11.6634303757257	10.3288441521101
38	Colwellia BRX10.3	Clade B	13.3000000000001	10.3385655047241	15.1511632306624	13.6581605266915	10.232559341376	9.86357173531405	12.4415559565034	9.77615476197848	11.1868550739179
39	Colwellia BRX8.4	Clade A1	10.7	9.96483014361741	10.5352470287638	11.4276295335587	9.89527242372935	13.0382468540204	14.0587827631597	11.5336700372275	9.16131680305118
40	Colwellia BRX10.5	Clade A1	10.5	10.6882910968194	10.5267520939655	11.3785600802304	10.6233816753734	12.8596042297589	13.755564618753	11.7123338746027	10.194840709025
41	Colwellia BRX10.6	Clade A1	10.2	9.02853599298241	11.0368421600063	11.5874172644704	8.66431479121525	11.9424266254397	13.3751723031968	9.83636767978073	8.58673881985199
42	Colwellia BRX10.7	Clade A1	10.5	10.7281288810118	10.4649062118457	11.455764720167	10.4439450407435	13.0191145125813	13.5334186630452	11.4360535926596	10.1353454766891
43	Colwellia BRX10.9	Clade A1	9.5	10.5203688158536	11.2818175337632	11.1248687493249	9.704275649176	13.6807172703694	12.9836147560262	10.1292032418243	10.0312797502514
44	Colwellia BRX8.2	Clade A1	8.60000000000002	10.5333009474671	10.623230942459	11.0192377291777	10.5514431435287	13.9744690914722	13.8643781039008	12.0317644948564	9.80940520805011
