Clade	j	b	Tmin	c	Tmax	topt	resid
59	Clade A1	59	0.175314857123071	260.777464264952	0.0396593391790997	294.095114891883	6.89999999999998	1.31363359814332e-15
60	Clade A1	60	0.130614200648243	259.51613824267	0.051209922174192	297.408700910673	9.30000000000001	1.27070833214167e-15
61	Clade A1	61	0.0208620166466169	212.960077581055	0.925369504563021	291.074687525172	13.5	2.22044604925031e-15
62	Clade A1	62	0.214623715144356	260.947427019773	0.0298042529877008	294.840896335946	6.80000000000001	2.77166905711555e-15
66	Clade A1	66	0.0309829347435428	230.588522093871	0.193508872587747	295.516576276333	10.1	7.10889595793335e-16
68	Clade A1	68	0.0546613185368392	249.799853498946	0.213745112817255	294.285204832072	11.3	2.28069103427033e-15
73	Clade A1	73	0.0354703949505681	238.05111302507	0.172856794907615	293.883808583206	8.5	2.10357235202978e-15
74	Clade A1	74	0.0997346734697608	257.775731839901	0.0771079238613649	296.043129742689	9.30000000000001	1.3183167987305e-15
81	Clade A1	81	0.0731165877979092	256.269702326861	0.193826440199963	290.694761065732	8.5	5.54951894804472e-15
89	Clade A1	89	0.0628946979700497	248.949151306616	0.106091751927475	295.527432532678	8.5	5.83369115477501e-15
91	Clade A1	91	0.118595684055285	260.699328494563	0.0981110082977784	292.119283798152	8	1.44755372248954e-15
92	Clade A1	92	0.221960455266682	261.165999166108	0.029614535711401	294.325085684816	6.60000000000002	5.66104886700368e-16
97	Clade A1	97	0.0813810326968386	256.037652097768	0.10132614441148	294.759759494601	9	3.55097853160113e-15
98	Clade A1	98	0.0687296637709731	250.599447058087	0.0464319149380363	301.000057527641	8.69999999999999	2.9373740229761e-16
100	Clade A1	100	0.104871193881644	260.593261152925	0.105510319618016	292.982249789359	8.80000000000001	4.9063819216287e-15
101	Clade A1	101	0.0557411967049265	248.971574022482	0.260348715395782	292.152588171596	10.3	1.31480596214118e-15
105	Clade A1	105	0.0362131120193292	238.76830642207	0.598459628442404	291.137066592235	12.5	3.84592537276713e-16
106	Clade A1	106	0.153025340357413	259.922151875844	0.0335379787677906	299.349337070514	9.5	8.15843973306311e-16
107	Clade A1	107	0.055966635708104	250.480473320349	0.170256100843801	293.403134599567	9.5	1.1866928732136e-15
114	Clade A1	114	0.048942658590279	247.850381344307	0.201967028122069	293.28538503544	9.89999999999998	3.15750629252148e-14
115	Clade A1	115	0.0290787972438975	227.213599132589	0.334503341836061	293.720068163752	11.7	3.5108334685767e-16
117	Clade A1	117	0.0365757743220453	236.658983606321	0.282576198306949	292.803514751035	10.4	2.84518342857687e-14
118	Clade A1	118	0.0293972839871235	230.421746647991	0.175229600388165	295.718838146421	9.5	5.58763237108978e-15
124	Clade A1	124	0.146344847198725	260.946679782203	0.0496356517165604	295.715593321562	8.5	3.70388771156189e-15
126	Clade A1	126	0.0293136010172606	228.500479578375	0.333646229485583	293.174231697635	11.3	2.95828086349075e-15
127	Clade A1	127	0.0529443190109347	247.973164354108	0.287116952406927	292.075703114138	10.6	2.85275473411275e-15
128	Clade A1	128	0.0669434904945372	250.842276496545	0.0892882372949404	294.638213158695	7.19999999999999	5.20740757162067e-16
135	Clade A1	135	0.0399627157835829	238.93593442728	0.310687046285654	292.468716117002	10.8	2.89510744497907e-15
138	Clade A1	138	0.0678836794502345	254.293157367866	0.227740627026106	291.621672333863	9.80000000000001	7.01134627903196e-15
142	Clade A1	142	0.0436943188548519	248.031108102789	0.764809324200008	290.879594231019	13.4	7.44097942378554e-15
144	Clade A1	144	0.0160941436080049	198.170063220277	0.511596528806283	292.345922215315	11.9	4.57756679852224e-16
145	Clade A1	145	0.0467252066402626	244.122848103519	0.159925224269851	294.295470684884	9.10000000000002	1.51414233340151e-15
151	Clade A1	151	0.0338627043388159	234.77297092516	0.363241631518071	292.170590761569	11.1	3.5108334685767e-16
152	Clade A1	152	0.136702015813388	260.43877123363	0.0443781648366389	298.868117906034	10.2	6.66133814775094e-16
153	Clade A1	153	0.0315553532750586	231.195345175428	0.284653856813936	292.559191623052	9.89999999999998	7.19506753999772e-16
158	Clade A1	158	0.0320679036033883	234.004156251755	0.234205146543891	294.485473692908	10.7	6.37774571658814e-16
161	Clade A1	161	0.0208969888812571	214.849279829432	1.37222534554998	290.633320178421	14.3	9.82923651532492e-15
